Test : Tempo 1;"15,00000";mm/min
W³aœciwoœci próbki : Etykietka próbki;"13.01_seg9_#1"
W³aœciwoœci próbki : D³ugoœæ;"25,00000";mm
W³aœciwoœci próbki : Szerokoœæ;"6,66000";mm
W³aœciwoœci próbki : Gruboœæ;"2,46000";mm
Odkszta³cenie : Odkszta³cenie 1 d³ugoœæ pomiarowa;"10,00000";mm
Odkszta³cenie : Odkszta³cenie przy rozci¹ganiu (Przemieszczenie) d³ugoœæ pomiarowa;"25,00000";mm

Godzina;Przemieszczenie;Obci¹¿enie;Odkszta³cenie 1
(s);(mm);(N);(mm/mm)
"36,82500";"2,57336";"7470,02979";"-0,12645"
"36,92500";"2,59848";"7452,82031";"-0,12701"
"36,96400";"2,60830";"7477,86279";"-0,13303"
"37,06400";"2,63327";"7488,93164";"-0,13410"
"37,16400";"2,65833";"7511,62842";"-0,13215"
"37,26400";"2,68345";"7529,24121";"-0,12878"
"37,36400";"2,70816";"7542,38721";"-0,12669"
"37,46400";"2,73338";"7552,36377";"-0,12748"
"37,56400";"2,75821";"7563,77734";"-0,13043"
"37,66400";"2,78327";"7572,01270";"-0,13316"
"37,76400";"2,80834";"7579,74463";"-0,13355"
"37,86400";"2,83326";"7584,45264";"-0,13135"
"37,96400";"2,85839";"7589,87793";"-0,12837"
"38,06400";"2,88325";"7596,02051";"-0,12699"
"38,16400";"2,90831";"7606,55127";"-0,12822"
"38,26400";"2,93327";"7629,11865";"-0,13103"
"38,36400";"2,95819";"7649,21289";"-0,13315"
"38,46400";"2,98339";"7654,21826";"-0,13296"
"38,56400";"3,00848";"7652,18555";"-0,13066"
"38,66400";"3,03336";"7642,99707";"-0,12815"
"38,75700";"3,05661";"7668,17920";"-0,12860"
"38,81100";"3,06994";"7693,39404";"-0,12860"
"38,89100";"3,08988";"7718,62207";"-0,13166"
"38,99100";"3,11506";"7735,68506";"-0,12912"
"39,09100";"3,14004";"7746,60889";"-0,12755"
"39,17000";"3,15976";"7721,25977";"-0,13304"
"39,17800";"3,16179";"7693,92236";"-0,13192"
"39,18500";"3,16359";"7666,00830";"-0,12979"
"39,19200";"3,16542";"7639,89160";"-0,12797"
"39,20100";"3,16777";"7614,15723";"-0,12782"
"39,26000";"3,18266";"7639,88135";"-0,12893"
"39,28100";"3,18772";"7665,11084";"-0,13283"
"39,36200";"3,20779";"7639,62744";"-0,12776"
"39,46200";"3,23283";"7659,61328";"-0,12804"
"39,56200";"3,25767";"7658,48682";"-0,13008"
"39,66200";"3,28264";"7665,10205";"-0,13219"
"39,76200";"3,30790";"7670,48145";"-0,13274"
"39,86200";"3,33285";"7675,89258";"-0,13135"
"39,96200";"3,35803";"7672,68896";"-0,12917"
"40,06200";"3,38276";"7679,01904";"-0,12793"
"40,16200";"3,40769";"7685,39111";"-0,12856"
"40,26200";"3,43282";"7689,21191";"-0,13051"
"40,36200";"3,45763";"7689,31885";"-0,13224"
"40,46200";"3,48282";"7686,73779";"-0,13236"
"40,56200";"3,50794";"7696,26367";"-0,13087"
"40,66200";"3,53275";"7700,44092";"-0,12896"
"40,76200";"3,55789";"7697,29150";"-0,12814"
"40,86200";"3,58269";"7703,37646";"-0,12902"
"40,96200";"3,60783";"7704,11719";"-0,13086"
"41,06200";"3,63283";"7707,23926";"-0,13219"
"41,16200";"3,65778";"7709,18408";"-0,13200"
"41,26200";"3,68292";"7703,48682";"-0,13048"
